country_code,country_name,genre,content_type,lyric_style,language,query,video_count,total_views,median_views,total_likes,total_comments,avg_like_rate,avg_comment_rate,views_score,median_views_score,like_rate_score,comment_rate_score,youtube_opportunity_score
TH,Thailand,pop,lyrical,local_language,th,Thai pop song,25,2292493829,26449611.0,10970227,321196,0.006957562104214328,0.00017324645668821806,0.689887165804069,0.7755927604582133,0.017543914529092486,0.008323746008406695,0.503942284074302
AU,Australia,pop,lyrical,english,en,Australian pop song,25,2197470640,6195559.0,11836632,471866,0.010143897568623422,0.0009052400546169037,0.6848919331927331,0.6721863762186234,0.035696723252613305,0.08887349029605535,0.4955687738723915
MY,Malaysia,pop,lyrical,local_language,ms,Malay pop song,25,1189294700,34096080.0,6242163,441927,0.006874243791697464,0.0008571572334232021,0.6124475475609424,0.7936849207262593,0.017069243419543877,0.08358237987823072,0.48005850142038925
SE,Sweden,pop,lyrical,local_language,sv,Swedish pop song,25,1566468426,8964260.0,10186554,468503,0.011065554380608793,0.0006853876731551405,0.6449516226556593,0.6985053871659829,0.040947476038558,0.06468058320248687,0.478021097647183
IT,Italy,pop,lyrical,local_language,it,Italian pop song,25,1722723346,11609076.0,6756791,181518,0.007067876701659232,0.0001945571841937915,0.6561711793049656,0.7169253237955852,0.0181723856393059,0.01066881248988286,0.4757968341309782
IN,India,devotional,lyrical,local_language,hi,Hindi devotional song,25,1281137821,25030482.0,8122428,346569,0.006868006319190188,0.00033489361261763827,0.6212251924814147,0.7716637766233672,0.017033708038348912,0.026111657148319423,0.4714171563433811
BR,Brazil,pop,lyrical,local_language,pt,Portuguese pop song,25,1658101909,68517.0,7393258,410775,0.01380846879515596,0.0034734401860206476,0.6516597832720685,0.35126144491974176,0.05657407947326467,0.37148233339174497,0.46029064254973406
KR,South Korea,jazz,instrumental,no_lyrics,ko,Korean jazz instrumental,25,117206773,1640617.0,3001769,145204,0.17940661475711545,0.0013972846205570872,0.3390257065431419,0.5775181628071198,1.0,0.14301885997792269,0.4564693148296833
PH,Philippines,pop,lyrical,local_language,tl,Filipino pop song,25,1009382881,10351157.0,4633330,354155,0.00439181738215574,0.0002581845839518548,0.5930933824941604,0.7087542518820186,0.0029266610436532027,0.01767047315290319,0.4413871117529674
DE,Germany,pop,lyrical,local_language,de,German pop song,25,769227924,13499912.0,5130421,139791,0.010049947940576849,0.000359050371254932,0.5610325233029229,0.7276759867417927,0.03516148468573139,0.02876990543977788,0.4356411675186464
TW,Taiwan,pop,lyrical,local_language,zh,Taiwan mandarin pop song,25,1179868046,2090609.0,4204166,123423,0.008032811769421833,0.00021400823321581958,0.6115085399084538,0.5947868619767047,0.02366969811985492,0.012809236981687669,0.43018348261479916
NL,Netherlands,pop,lyrical,local_language,nl,Dutch pop song,25,648382770,13715105.0,4033762,127741,0.00607357041015538,0.0002810307553212379,0.5408659674275382,0.7288027072805229,0.012507742941174287,0.020184502328790724,0.42109736196036845
CA,Canada,lofi,instrumental,no_lyrics,en,lofi study music Canada,25,93171276,290197.0,984029,43190,0.01859261832467187,0.009185077289415713,0.3119451730680672,0.4541020242913197,0.08382976308978243,1.0,0.40936745585576495
NZ,New Zealand,pop,lyrical,english,en,New Zealand pop song,25,571494926,6202177.0,5859139,168061,0.00730544393251536,0.0003083701850826285,0.525971613984013,0.6722624389665764,0.019525825209268932,0.023192976832504476,0.4038461150915878
US,United States,jazz,lyrical,vocal,en,jazz vocal song,25,622623206,1547143.0,7340604,113180,0.014105595741600092,0.00033650003191584404,0.536082370742195,0.5733387322020469,0.058266835520344736,0.02628843009285797,0.3953922216534873
SG,Singapore,pop,lyrical,english,en,Singapore pop song,25,391157587,4456021.0,5412798,134591,0.016290567687550966,0.0009393669904759994,0.48123330053348684,0.6487055237818915,0.07071479595769964,0.09262887280834742,0.3948593053380288
